"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"        Estimate","","101,923","","124,617","-","N","208,424","-","76,920","81,205","95,233","111,500","","-","107,408","118,605","75,502","","125,002","102,041","131,001","130,908","125,856","65,252","42,066","100,054","112,708","","95,549","125,119","135,061","106,784","126,887","136,136","","57,098","72,603","125,706","173,465","","51,818","48,517","33,582","175,183","58,173","67,696","55,332"
"San Bernardino County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","675,929","","271,673","57,392","11,279","56,981","N","157,109","118,463","313,839","225,788","","18,127","249,971","262,418","145,413","","510,019","229,130","280,889","341,236","148,485","111,490","55,364","57,293","25,281","","170,501","118,384","104,791","64,612","30,876","20,855","","69,554","176,934","180,605","82,926","","165,910","88,506","69,439","19,067","77,404","56,585","20,819"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","675,929","","40.2%","8.5%","1.7%","8.4%","N","23.2%","17.5%","46.4%","33.4%","","2.7%","37.0%","38.8%","21.5%","","510,019","44.9%","55.1%","66.9%","29.1%","21.9%","10.9%","11.2%","5.0%","","33.4%","23.2%","20.5%","12.7%","6.1%","4.1%","","13.6%","34.7%","35.4%","16.3%","","165,910","53.3%","41.9%","11.5%","46.7%","34.1%","12.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","74,846","","78,938","60,999","73,014","94,059","80,297","71,174","71,284","71,385","80,927","","49,565","77,566","86,804","53,961","","81,463","76,131","85,293","97,542","97,388","50,306","36,461","66,727","51,970","","68,978","77,253","88,248","90,461","94,832","110,153","","32,430","58,380","100,833","127,524","","45,423","37,435","31,397","87,645","50,596","43,024","75,258"
"San Diego County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,162,896","","664,070","58,058","12,194","130,324","N","98,340","196,406","304,637","612,211","","41,063","429,929","412,019","279,885","","763,183","317,227","445,956","567,165","230,644","133,896","63,429","62,122","23,154","","320,979","180,533","148,118","68,463","25,601","19,489","","106,139","246,680","310,962","99,402","","399,713","206,828","155,627","51,201","192,885","134,335","58,550"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,162,896","","57.1%","5.0%","1.0%","11.2%","N","8.5%","16.9%","26.2%","52.6%","","3.5%","37.0%","35.4%","24.1%","","763,183","41.6%","58.4%","74.3%","30.2%","17.5%","8.3%","8.1%","3.0%","","42.1%","23.7%","19.4%","9.0%","3.4%","2.6%","","13.9%","32.3%","40.7%","13.0%","","399,713","51.7%","38.9%","12.8%","48.3%","33.6%","14.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","91,003","","100,498","58,098","64,808","107,183","110,082","71,116","78,113","72,130","102,315","","51,521","99,437","104,189","66,704","","104,115","103,906","104,257","121,579","128,065","55,195","42,248","81,273","80,022","","92,575","106,255","121,288","111,191","120,710","125,667","","55,344","77,148","129,991","142,467","","60,923","53,210","41,075","102,362","66,844","55,646","109,377"
"San Francisco County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","350,796","","163,578","17,156","N","112,803","N","20,627","33,763","43,522","157,791","","9,737","141,725","113,017","86,317","","170,287","60,455","109,832","131,149","45,949","27,691","10,918","11,447","3,588","","84,688","35,257","31,297","11,922","4,238","2,885","","23,333","49,004","80,371","17,579","","180,509","82,682","61,524","21,158","97,827","68,176","29,651"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","350,796","","46.6%","4.9%","N","32.2%","N","5.9%","9.6%","12.4%","45.0%","","2.8%","40.4%","32.2%","24.6%","","170,287","35.5%","64.5%","77.0%","27.0%","16.3%","6.4%","6.7%","2.1%","","49.7%","20.7%","18.4%","7.0%","2.5%","1.7%","","13.7%","28.8%","47.2%","10.3%","","180,509","45.8%","34.1%","11.7%","54.2%","37.8%","16.4%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","121,826","","162,055","46,163","53,848","104,573","N","65,636","101,255","75,458","165,332","","63,392","173,521","120,513","56,248","","150,429","187,351","134,282","184,546","240,104","70,676","83,353","84,740","59,442","","130,768","160,005","186,063","139,191","167,971","193,305","","44,354","100,939","225,209","173,332","","91,445","84,172","60,730","198,750","100,352","62,615","206,534"
"San Joaquin County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","241,760","","98,733","17,799","N","38,125","N","37,842","44,739","86,129","90,926","","5,442","87,932","90,756","57,630","","181,693","90,761","90,932","124,336","60,430","35,713","18,913","21,644","11,418","","60,649","39,344","37,557","24,593","10,728","8,822","","23,394","65,759","66,389","26,151","","60,067","32,434","27,465","4,969","27,633","20,680","6,953"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","241,760","","40.8%","7.4%","N","15.8%","N","15.7%","18.5%","35.6%","37.6%","","2.3%","36.4%","37.5%","23.8%","","181,693","50.0%","50.0%","68.4%","33.3%","19.7%","10.4%","11.9%","6.3%","","33.4%","21.7%","20.7%","13.5%","5.9%","4.9%","","12.9%","36.2%","36.5%","14.4%","","60,067","54.0%","45.7%","8.3%","46.0%","34.4%","11.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","80,681","","88,202","64,800","85,393","89,561","N","72,728","79,119","76,195","88,569","","46,092","81,987","96,504","59,763","","89,393","84,774","91,960","105,213","105,084","48,418","35,866","67,869","58,603","","77,762","79,692","104,116","96,545","110,195","96,965","","40,873","67,034","110,272","137,020","","42,887","33,434","26,444","105,119","58,645","49,254","95,854"
"San Luis Obispo County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","107,571","","83,967","N","N","N","N","N","13,673","18,307","79,859","","6,604","29,777","32,756","38,434","","68,745","24,261","44,484","53,930","17,509","9,222","4,250","5,593","2,502","","37,164","14,364","11,996","3,632","1,097","492","","13,849","23,280","26,182","5,434","","38,826","23,073","18,293","4,780","15,753","9,929","5,824"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","107,571","","78.1%","N","N","N","N","N","12.7%","17.0%","74.2%","","6.1%","27.7%","30.5%","35.7%","","68,745","35.3%","64.7%","78.4%","25.5%","13.4%","6.2%","8.1%","3.6%","","54.1%","20.9%","17.4%","5.3%","1.6%","0.7%","","20.1%","33.9%","38.1%","7.9%","","38,826","59.4%","47.1%","12.3%","40.6%","25.6%","15.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","80,615","","81,063","73,160","N","76,002","-","83,602","81,969","67,093","82,189","","30,417","94,012","99,415","67,753","","100,804","98,517","102,760","114,030","112,036","53,488","30,273","47,073","45,234","","87,487","93,238","134,957","105,000","69,731","92,189","","70,122","75,538","128,253","163,385","","51,915","42,028","40,454","58,259","66,627","53,542","79,310"
"San Mateo County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","264,135","","122,487","5,424","N","79,966","N","23,272","28,482","51,198","115,698","","4,693","89,259","99,866","70,317","","181,328","73,011","108,317","143,006","59,573","25,053","9,652","13,269","3,786","","78,058","43,090","36,508","14,422","4,584","4,666","","21,052","52,520","82,309","25,447","","82,807","44,033","35,589","8,444","38,774","29,448","9,326"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","264,135","","46.4%","2.1%","N","30.3%","N","8.8%","10.8%","19.4%","43.8%","","1.8%","33.8%","37.8%","26.6%","","181,328","40.3%","59.7%","78.9%","32.9%","13.8%","5.3%","7.3%","2.1%","","43.0%","23.8%","20.1%","8.0%","2.5%","2.6%","","11.6%","29.0%","45.4%","14.0%","","82,807","53.2%","43.0%","10.2%","46.8%","35.6%","11.3%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","131,796","","144,442","86,828","96,080","154,343","N","91,789","123,627","95,259","146,928","","49,196","160,021","156,178","81,943","","157,287","185,841","143,571","184,131","218,491","89,121","85,538","95,963","90,556","","126,125","173,314","206,439","191,688","200,148","131,594","","69,800","114,708","208,417","193,712","","74,176","67,880","60,917","132,070","84,947","68,111","146,956"
"Santa Barbara County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","150,550","","88,814","N","N","7,635","N","18,899","30,091","53,818","81,024","","9,753","47,071","52,079","41,647","","97,692","40,238","57,454","70,108","26,854","18,151","8,592","9,433","4,792","","39,653","19,065","20,770","9,470","4,208","4,526","","14,557","29,034","38,588","15,513","","52,858","27,111","20,145","6,966","25,747","16,306","9,441"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","150,550","","59.0%","N","N","5.1%","N","12.6%","20.0%","35.7%","53.8%","","6.5%","31.3%","34.6%","27.7%","","97,692","41.2%","58.8%","71.8%","27.5%","18.6%","8.8%","9.7%","4.9%","","40.6%","19.5%","21.3%","9.7%","4.3%","4.6%","","14.9%","29.7%","39.5%","15.9%","","52,858","51.3%","38.1%","13.2%","48.7%","30.8%","17.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","84,846","","94,119","85,300","N","85,954","N","72,447","82,338","74,253","96,358","","31,188","84,054","106,630","71,051","","95,634","83,626","104,305","117,147","103,597","42,483","30,136","72,042","73,735","","95,520","91,355","100,067","91,079","96,655","91,078","","64,959","74,418","109,832","127,691","","53,681","49,561","34,902","92,970","58,107","41,645","89,690"
"Santa Clara County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","650,593","","245,629","16,722","5,041","250,809","N","51,384","78,889","123,081","231,849","","12,889","244,653","247,394","145,657","","457,018","199,307","257,711","353,131","159,215","68,721","27,566","35,166","12,526","","173,096","115,720","102,623","39,792","14,206","11,581","","48,700","145,860","199,129","63,329","","193,575","89,256","69,665","19,591","104,319","73,775","30,544"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","650,593","","37.8%","2.6%","0.8%","38.6%","N","7.9%","12.1%","18.9%","35.6%","","2.0%","37.6%","38.0%","22.4%","","457,018","43.6%","56.4%","77.3%","34.8%","15.0%","6.0%","7.7%","2.7%","","37.9%","25.3%","22.5%","8.7%","3.1%","2.5%","","10.7%","31.9%","43.6%","13.9%","","193,575","46.1%","36.0%","10.1%","53.9%","38.1%","15.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","141,562","","143,861","85,345","79,304","181,964","73,102","87,503","105,803","89,201","147,893","","86,532","168,169","164,845","77,828","","161,586","186,316","148,674","190,053","222,772","79,138","54,827","101,062","84,448","","135,429","171,454","205,726","160,046","159,068","149,576","","57,521","126,146","218,221","198,204","","92,037","71,981","56,246","136,294","110,897","90,212","180,663"
"Santa Cruz County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","97,353","","66,140","N","N","N","N","13,085","10,924","24,230","63,419","","4,963","25,135","36,958","30,297","","63,170","23,641","39,529","48,488","18,071","10,120","3,627","4,562","1,943","","28,741","13,339","12,623","4,760","2,550","1,157","","9,392","17,980","26,596","9,202","","34,183","18,735","13,435","5,300","15,448","9,865","5,583"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","97,353","","67.9%","N","N","N","N","13.4%","11.2%","24.9%","65.1%","","5.1%","25.8%","38.0%","31.1%","","63,170","37.4%","62.6%","76.8%","28.6%","16.0%","5.7%","7.2%","3.1%","","45.5%","21.1%","20.0%","7.5%","4.0%","1.8%","","14.9%","28.5%","42.1%","14.6%","","34,183","54.8%","39.3%","15.5%","45.2%","28.9%","16.3%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","93,933","","106,475","167,888","120,276","101,056","-","67,049","94,700","76,250","107,468","","45,958","109,688","123,961","76,116","","118,352","120,218","118,208","135,832","146,519","74,104","48,944","69,635","46,672","","101,623","130,205","135,774","131,542","92,654","142,530","","70,051","75,371","146,105","164,390","","62,642","59,144","46,019","110,248","69,002","43,039","106,048"
"Shasta County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","71,506","","60,300","N","N","N","N","N","6,450","6,151","58,288","","2,829","19,957","24,542","24,178","","43,080","15,641","27,439","30,969","9,682","8,685","4,184","3,426","1,775","","22,804","9,910","6,191","2,520","921","734","","10,641","14,117","15,461","2,861","","28,426","15,038","10,777","4,261","13,388","9,056","4,332"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","71,506","","84.3%","N","N","N","N","N","9.0%","8.6%","81.5%","","4.0%","27.9%","34.3%","33.8%","","43,080","36.3%","63.7%","71.9%","22.5%","20.2%","9.7%","8.0%","4.1%","","52.9%","23.0%","14.4%","5.8%","2.1%","1.7%","","24.7%","32.8%","35.9%","6.6%","","28,426","52.9%","37.9%","15.0%","47.1%","31.9%","15.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","61,125","","61,380","N","N","61,128","-","N","65,177","67,592","60,303","","37,324","71,932","74,171","49,093","","77,558","65,654","85,611","89,188","87,681","36,802","29,591","54,345","51,637","","67,394","73,048","99,356","74,389","138,458","78,158","","47,597","59,603","101,993","132,768","","41,491","36,554","26,243","67,182","44,126","35,080","61,759"
"Solano County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","157,617","","74,548","21,145","N","22,867","N","17,672","19,214","35,300","68,617","","2,628","51,964","58,490","44,535","","109,803","45,574","64,229","77,322","31,576","21,622","9,939","10,859","4,059","","44,116","26,492","19,021","12,826","4,100","3,248","","15,024","35,601","42,692","16,486","","47,814","27,392","22,065","5,327","20,422","15,934","4,488"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","157,617","","47.3%","13.4%","N","14.5%","N","11.2%","12.2%","22.4%","43.5%","","1.7%","33.0%","37.1%","28.3%","","109,803","41.5%","58.5%","70.4%","28.8%","19.7%","9.1%","9.9%","3.7%","","40.2%","24.1%","17.3%","11.7%","3.7%","3.0%","","13.7%","32.4%","38.9%","15.0%","","47,814","57.3%","46.1%","11.1%","42.7%","33.3%","9.4%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","87,770","","94,952","66,064","67,533","105,871","141,096","67,962","84,502","76,532","95,373","","41,051","93,986","101,811","67,950","","100,378","92,655","103,496","116,086","118,346","61,070","39,325","88,931","72,088","","90,896","96,481","110,392","108,627","104,492","148,125","","66,785","73,341","117,790","149,952","","51,421","43,425","40,876","77,753","61,723","51,092","100,222"
"Sonoma County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","190,586","","138,791","N","N","7,729","N","15,838","22,626","37,393","133,605","","4,531","56,103","67,896","62,056","","122,440","47,564","74,876","94,733","34,104","18,351","9,223","9,356","4,237","","59,867","24,362","24,113","9,215","3,268","1,615","","18,252","37,200","51,121","15,867","","68,146","37,865","29,769","8,096","30,281","20,090","10,191"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","190,586","","72.8%","N","N","4.1%","N","8.3%","11.9%","19.6%","70.1%","","2.4%","29.4%","35.6%","32.6%","","122,440","38.8%","61.2%","77.4%","27.9%","15.0%","7.5%","7.6%","3.5%","","48.9%","19.9%","19.7%","7.5%","2.7%","1.3%","","14.9%","30.4%","41.8%","13.0%","","68,146","55.6%","43.7%","11.9%","44.4%","29.5%","15.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","94,295","","100,128","110,279","62,112","94,928","68,038","70,914","87,564","79,265","100,360","","58,450","102,359","114,041","71,231","","114,212","112,090","116,807","132,340","136,109","64,721","47,473","78,102","60,138","","105,461","112,425","124,883","121,675","128,243","155,907","","73,633","86,085","135,391","163,914","","55,120","51,840","41,995","100,802","60,142","45,060","100,532"
"Stanislaus County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","174,209","","88,566","N","N","8,390","N","26,396","42,205","71,210","81,226","","4,016","64,140","65,882","40,171","","131,141","61,135","70,006","89,145","39,839","27,590","16,273","14,406","5,023","","47,140","30,635","24,264","16,983","7,347","4,772","","16,662","46,887","45,667","21,925","","43,068","20,347","16,577","3,770","22,721","17,814","4,907"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","174,209","","50.8%","N","N","4.8%","N","15.2%","24.2%","40.9%","46.6%","","2.3%","36.8%","37.8%","23.1%","","131,141","46.6%","53.4%","68.0%","30.4%","21.0%","12.4%","11.0%","3.8%","","35.9%","23.4%","18.5%","13.0%","5.6%","3.6%","","12.7%","35.8%","34.8%","16.7%","","43,068","47.2%","38.5%","8.8%","52.8%","41.4%","11.4%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","73,982","","80,974","39,799","81,366","94,413","97,656","67,547","65,491","68,348","81,371","","60,398","73,793","89,313","59,280","","82,514","72,229","88,472","99,282","97,164","44,208","35,727","68,120","66,189","","72,638","77,030","105,197","93,528","100,611","91,037","","40,062","60,852","100,098","128,243","","45,354","35,799","32,764","56,870","52,132","47,104","77,198"
"Sutter County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","33,655","","18,062","N","N","N","N","N","N","8,731","17,581","","1,708","10,706","12,708","8,533","","24,172","N","N","N","N","N","N","N","N","","8,798","4,676","5,063","2,855","1,557","1,223","","3,746","8,900","8,551","2,975","","9,483","4,741","3,456","1,285","4,742","4,093","649"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","33,655","","53.7%","N","N","N","N","N","N","25.9%","52.2%","","5.1%","31.8%","37.8%","25.4%","","24,172","N","N","N","N","N","N","N","N","","36.4%","19.3%","20.9%","11.8%","6.4%","5.1%","","15.5%","36.8%","35.4%","12.3%","","9,483","50.0%","36.4%","13.6%","50.0%","43.2%","6.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","64,251","","68,503","65,475","44,566","69,145","81,723","49,452","57,541","54,399","69,365","","36,467","66,783","65,145","57,248","","69,417","62,306","76,638","79,045","76,459","48,525","35,524","51,415","50,971","","70,607","73,032","52,785","55,244","84,846","97,578","","35,328","53,333","82,875","99,597","","41,618","42,122","39,863","73,638","41,314","40,351","67,664"
"Tehama County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","23,950","","18,710","N","N","N","N","N","N","N","17,697","","702","6,455","7,902","8,891","","15,910","N","N","N","N","N","N","N","N","","8,361","3,265","2,622","1,026","401","235","","4,030","5,911","4,133","1,836","","8,040","4,462","3,200","1,262","3,578","3,086","492"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","23,950","","78.1%","N","N","N","N","N","N","N","73.9%","","2.9%","27.0%","33.0%","37.1%","","15,910","N","N","N","N","N","N","N","N","","52.6%","20.5%","16.5%","6.4%","2.5%","1.5%","","25.3%","37.2%","26.0%","11.5%","","8,040","55.5%","39.8%","15.7%","44.5%","38.4%","6.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","48,810","","43,709","36,636","61,573","N","-","N","69,544","60,186","46,478","","23,624","59,055","54,271","41,257","","61,269","61,617","61,006","88,535","96,234","32,794","30,614","24,707","30,415","","55,215","47,440","89,917","108,438","108,281","94,160","","49,552","44,699","88,112","128,780","","23,326","24,761","22,941","26,364","15,803","13,328","65,714"
"Tulare County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","143,541","","65,599","N","N","N","N","34,290","34,625","83,797","50,083","","4,556","55,653","51,579","31,753","","112,581","58,169","54,412","71,696","33,843","27,592","16,520","13,293","7,806","","36,922","23,168","24,462","15,795","8,567","3,667","","15,894","45,367","37,347","13,973","","30,960","16,491","13,082","3,409","14,469","10,817","3,652"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
