"Label (Grouping)","HOUSEHOLD INCOME!!All households"
"        Estimate","571,949"
"    Mean income (dollars)",""
"        Estimate","102,576"
"San Benito County, California",""
"    Number",""
"        Estimate","20,307"
"    Percent Distribution",""
"        Estimate","20,307"
"    Mean income (dollars)",""
"        Estimate","123,501"
"San Bernardino County, California",""
"    Number",""
"        Estimate","675,929"
"    Percent Distribution",""
"        Estimate","675,929"
"    Mean income (dollars)",""
"        Estimate","94,861"
"San Diego County, California",""
"    Number",""
"        Estimate","1,162,896"
"    Percent Distribution",""
"        Estimate","1,162,896"
"    Mean income (dollars)",""
"        Estimate","121,451"
"San Francisco County, California",""
"    Number",""
"        Estimate","350,796"
"    Percent Distribution",""
"        Estimate","350,796"
"    Mean income (dollars)",""
"        Estimate","181,909"
"San Joaquin County, California",""
"    Number",""
"        Estimate","241,760"
"    Percent Distribution",""
"        Estimate","241,760"
"    Mean income (dollars)",""
"        Estimate","101,563"
"San Luis Obispo County, California",""
"    Number",""
"        Estimate","107,571"
"    Percent Distribution",""
"        Estimate","107,571"
"    Mean income (dollars)",""
"        Estimate","110,052"
"San Mateo County, California",""
"    Number",""
"        Estimate","264,135"
"    Percent Distribution",""
"        Estimate","264,135"
"    Mean income (dollars)",""
"        Estimate","200,346"
"Santa Barbara County, California",""
"    Number",""
"        Estimate","150,550"
"    Percent Distribution",""
"        Estimate","150,550"
"    Mean income (dollars)",""
"        Estimate","124,400"
"Santa Clara County, California",""
"    Number",""
"        Estimate","650,593"
"    Percent Distribution",""
"        Estimate","650,593"
"    Mean income (dollars)",""
"        Estimate","197,524"
"Santa Cruz County, California",""
"    Number",""
"        Estimate","97,353"
"    Percent Distribution",""
"        Estimate","97,353"
"    Mean income (dollars)",""
"        Estimate","140,555"
"Shasta County, California",""
"    Number",""
"        Estimate","71,506"
"    Percent Distribution",""
"        Estimate","71,506"
"    Mean income (dollars)",""
"        Estimate","86,007"
"Solano County, California",""
"    Number",""
"        Estimate","157,617"
"    Percent Distribution",""
"        Estimate","157,617"
"    Mean income (dollars)",""
"        Estimate","108,264"
"Sonoma County, California",""
"    Number",""
"        Estimate","190,586"
"    Percent Distribution",""
"        Estimate","190,586"
"    Mean income (dollars)",""
"        Estimate","125,603"
"Stanislaus County, California",""
"    Number",""
"        Estimate","174,209"
"    Percent Distribution",""
"        Estimate","174,209"
"    Mean income (dollars)",""
"        Estimate","94,904"
"Sutter County, California",""
"    Number",""
"        Estimate","33,655"
"    Percent Distribution",""
"        Estimate","33,655"
"    Mean income (dollars)",""
"        Estimate","80,720"
"Tehama County, California",""
"    Number",""
"        Estimate","23,950"
"    Percent Distribution",""
"        Estimate","23,950"
"    Mean income (dollars)",""
"        Estimate","64,627"
"Tulare County, California",""
"    Number",""
"        Estimate","143,541"
"    Percent Distribution",""
"        Estimate","143,541"
"    Mean income (dollars)",""
"        Estimate","77,205"
"Ventura County, California",""
"    Number",""
"        Estimate","279,168"
"    Percent Distribution",""
"        Estimate","279,168"
"    Mean income (dollars)",""
"        Estimate","125,549"
"Yolo County, California",""
"    Number",""
"        Estimate","76,844"
"    Percent Distribution",""
"        Estimate","76,844"
"    Mean income (dollars)",""
"        Estimate","109,287"
"Yuba County, California",""
"    Number",""
"        Estimate","27,942"
"    Percent Distribution",""
"        Estimate","27,942"
"    Mean income (dollars)",""
"        Estimate","81,949"
